Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HElo,AElo
2026-05-30,2026,Lahti,Ilves,5,0,H,O,2.32,3.2,2.8,5,1.0,0.0,0.0,1.0,4.0,5.0,-1.0,3.0,6.0,-3.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,40.0,1462.8,1634.5
2026-05-30,2026,KuPS,Inter Turku,1,1,D,U,2.37,3.23,2.72,7,2.0,2.0,0.0,1.0,5.0,6.0,-1.0,1.0,4.0,-3.0,4.0,2.0,2.0,1.0,2.0,-1.0,0.0,1.0,-1.0,66.7,0.0,75.0,25.0,1730.6,1678.0
2026-05-30,2026,HJK,Mariehamn,1,0,H,U,1.17,6.4,11.5,5,1.0,0.0,1.0,2.0,3.0,1.0,2.0,3.0,5.0,-2.0,0.0,-4.0,4.0,0.0,0.0,0.0,0.0,1.0,-1.0,50.0,25.0,0.0,75.0,1609.3,1458.1
2026-05-30,2026,Gnistan,SJK,3,2,H,O,2.55,3.44,2.4,5,2.0,0.0,1.0,2.0,7.0,0.0,7.0,3.0,5.0,-2.0,4.0,-5.0,9.0,2.0,0.0,2.0,1.0,2.0,-1.0,50.0,50.0,0.0,66.7,1509.0,1609.5
2026-05-23,2026,SJK,AC Oulu,0,1,A,U,2.35,3.42,2.61,5,0.0,0.0,1.0,3.0,3.0,3.0,0.0,5.0,6.0,-1.0,-2.0,-3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,25.0,25.0,40.0,60.0,1622.8,1504.7
2026-05-23,2026,KuPS,Lahti,2,1,H,O,1.5,3.93,5.63,6,1.0,1.0,0.0,2.0,4.0,2.0,2.0,1.0,3.0,-2.0,3.0,-1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,60.0,0.0,33.3,66.7,1727.0,1466.5
2026-05-23,2026,Jaro,Mariehamn,3,0,H,O,1.83,3.41,3.85,4,0.0,0.0,1.0,2.0,3.0,1.0,2.0,4.0,5.0,-1.0,-1.0,-4.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,33.3,0.0,66.7,1452.3,1468.6
2026-05-23,2026,Inter Turku,TPS,2,1,H,O,1.48,4.01,5.68,6,2.0,0.0,0.0,1.0,4.0,3.0,1.0,1.0,4.0,-3.0,3.0,-1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,60.0,0.0,0.0,33.3,1672.9,1487.0
2026-05-23,2026,Ilves,Gnistan,2,0,H,U,2.01,3.48,3.14,4,1.0,0.0,2.0,1.0,3.0,2.0,1.0,6.0,3.0,3.0,-3.0,-1.0,-2.0,0.0,0.0,0.0,2.0,0.0,2.0,33.3,66.7,0.0,33.3,1627.6,1515.9
2026-05-22,2026,VPS,HJK,2,1,H,O,3.39,3.48,1.93,4,1.0,0.0,0.0,1.0,4.0,2.0,2.0,3.0,3.0,0.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,25.0,25.0,1526.6,1622.0
2026-05-20,2026,KuPS,Jaro,3,0,H,O,1.45,4.28,5.83,5,1.0,0.0,0.0,2.0,4.0,1.0,3.0,3.0,8.0,-5.0,1.0,-7.0,8.0,0.0,0.0,0.0,0.0,2.0,-2.0,50.0,0.0,0.0,50.0,1723.5,1455.8
2026-05-20,2026,Ilves,Inter Turku,1,3,A,O,3.09,3.3,2.12,3,,2.0,,1.0,,5.0,,,3.0,,,2.0,,,2.0,,,1.0,,50.0,50.0,66.7,33.3,1636.8,1663.7
2026-05-18,2026,Lahti,VPS,1,1,D,U,2.3,3.09,2.91,4,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,3.0,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,33.3,33.3,33.3,33.3,1464.7,1528.5
2026-05-16,2026,SJK,Inter Turku,1,3,A,O,3.37,3.4,1.96,4,1.0,,0.0,,5.0,,,2.0,,,3.0,,,1.0,,,0.0,,,33.3,0.0,50.0,50.0,1632.1,1654.3
2026-05-16,2026,Mariehamn,KuPS,1,1,D,U,6.57,4.19,1.41,4,0.0,1.0,1.0,1.0,3.0,4.0,-1.0,4.0,4.0,0.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,33.3,33.3,33.3,1462.1,1729.9
2026-05-16,2026,HJK,Ilves,2,2,D,O,1.61,3.91,4.44,4,2.0,0.0,1.0,1.0,4.0,5.0,-1.0,1.0,6.0,-5.0,3.0,-1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,66.7,33.3,0.0,50.0,1621.6,1637.3
